idPersonal,idNews,qReaction,qClassification,qFirstEmotion,qSecondEmotion
442,1,SAD,Negative,sadness,DNA
444,1,DNA,DNA,DNA,DNA
445,1,WOW,Negative,disgust,fear
446,1,SAD,Neutral,sadness,DNA
447,1,DNA,DNA,DNA,DNA
448,1,DNA,DNA,DNA,DNA
449,1,SAD,Positive,joy,DNA
450,1,LOVE,Positive,DNA,do not recognize
452,1,LIKE,Neutral,sadness,DNA
453,1,LIKE,Positive,joy,DNA
454,1,LIKE,Positive,joy,DNA
455,1,DNA,DNA,DNA,DNA
456,1,DNA,DNA,DNA,DNA
457,1,DNA,DNA,DNA,DNA
458,1,LIKE,Positive,joy,surprise
459,1,LOVE,Positive,joy,DNA
460,1,ANGRY,Negative,joy,DNA
461,1,LIKE,Neutral,surprise,DNA
462,1,ANGRY,Neutral,DNA,do not recognize
463,1,DNA,DNA,DNA,DNA
464,1,LIKE,Positive,joy,DNA
465,1,SAD,Negative,sadness,DNA
466,1,LIKE,Neutral,DNA,do not recognize
467,1,LIKE,Positive,joy,DNA
468,1,SAD,Negative,sadness,DNA
469,1,LOVE,Positive,joy,sadness
470,1,LIKE,Neutral,sadness,do not recognize
471,1,LIKE,Negative,joy,DNA
472,1,LOVE,Positive,joy,sadness
473,1,LOVE,Positive,joy,DNA
474,1,SAD,Neutral,joy,DNA
475,1,DNA,DNA,DNA,DNA
476,1,SAD,Neutral,sadness,surprise
477,1,LIKE,Neutral,surprise,DNA
478,1,DNA,DNA,DNA,DNA
479,1,LOVE,Positive,sadness,DNA
480,1,WOW,Neutral,surprise,DNA
481,1,LIKE,Positive,joy,DNA
482,1,SAD,Negative,sadness,DNA
483,1,WOW,Negative,sadness,DNA
484,1,LIKE,Neutral,DNA,do not recognize
485,1,SAD,Negative,joy,sadness
486,1,SAD,Negative,sadness,DNA
487,1,ANGRY,Negative,sadness,fear
488,1,SAD,Negative,sadness,DNA
489,1,LIKE,Positive,joy,DNA
490,1,DNA,DNA,DNA,DNA
491,1,DNA,DNA,DNA,DNA
492,1,SAD,Positive,joy,sadness
493,1,SAD,Negative,sadness,DNA
494,1,DNA,DNA,DNA,DNA
495,1,LOVE,Positive,joy,sadness
496,1,SAD,Positive,sadness,DNA
497,1,SAD,Neutral,sadness,surprise
498,1,SAD,Neutral,fear,DNA
499,1,LOVE,Positive,joy,sadness
500,1,LOVE,Positive,joy,sadness
501,1,WOW,Neutral,surprise,DNA
502,1,LOVE,Neutral,joy,DNA
503,1,LOVE,Positive,joy,DNA
504,1,LIKE,Positive,joy,sadness
505,1,WOW,Negative,surprise,DNA
506,1,DNA,DNA,DNA,DNA
507,1,DNA,DNA,DNA,DNA
508,1,LOVE,Positive,joy,sadness
509,1,WOW,Negative,surprise,DNA
510,1,LOVE,Positive,joy,surprise
511,1,ANGRY,Negative,sadness,disgust
512,1,DNA,DNA,DNA,DNA
513,1,WOW,Positive,joy,sadness
514,1,SAD,Negative,sadness,DNA
515,1,LIKE,Neutral,DNA,do not recognize
516,1,WOW,Negative,surprise,DNA
517,1,SAD,Negative,sadness,DNA
518,1,LOVE,Positive,joy,sadness
519,1,SAD,Positive,sadness,DNA
520,1,ANGRY,Negative,sadness,DNA
521,1,LIKE,Neutral,DNA,do not recognize
522,1,DNA,DNA,DNA,DNA
523,1,LIKE,Negative,anger,disgust
524,1,LOVE,Positive,joy,DNA
525,1,SAD,Negative,sadness,DNA
526,1,WOW,Positive,joy,surprise
527,1,SAD,Positive,DNA,do not recognize
528,1,DNA,DNA,DNA,DNA
529,1,SAD,Neutral,sadness,DNA
530,1,LOVE,Positive,sadness,DNA
531,1,ANGRY,Negative,sadness,do not recognize
532,1,DNA,DNA,DNA,DNA
533,1,WOW,Negative,disgust,DNA
534,1,LIKE,Neutral,joy,sadness
535,1,LIKE,Positive,joy,surprise
536,1,LOVE,Positive,joy,surprise
537,1,LIKE,Positive,joy,sadness
538,1,LOVE,Positive,joy,sadness
539,1,LOVE,Positive,joy,sadness
540,1,LIKE,Neutral,surprise,DNA
541,1,LIKE,Neutral,joy,DNA
542,1,WOW,Negative,sadness,surprise
543,1,LIKE,Positive,surprise,DNA
544,1,WOW,Positive,joy,surprise
545,1,SAD,Negative,sadness,surprise
546,1,DNA,DNA,DNA,DNA
547,1,WOW,Neutral,surprise,DNA
548,1,LIKE,Neutral,joy,DNA
549,1,SAD,Neutral,anger,do not recognize
550,1,WOW,Neutral,surprise,DNA
551,1,LIKE,Positive,joy,DNA
552,1,LOVE,Positive,joy,DNA
554,1,LOVE,Positive,joy,DNA
555,1,DNA,DNA,DNA,DNA
556,1,DNA,DNA,DNA,DNA
557,1,LIKE,Positive,fear,surprise
558,1,SAD,Neutral,joy,sadness
559,1,DNA,DNA,DNA,DNA
560,1,SAD,Negative,sadness,disgust
561,1,SAD,Negative,sadness,anger
562,1,LOVE,Positive,joy,DNA
563,1,LOVE,Positive,sadness,DNA
564,1,SAD,Negative,sadness,fear
565,1,LIKE,Neutral,surprise,DNA
566,1,WOW,Negative,surprise,DNA
567,1,DNA,DNA,DNA,DNA
568,1,SAD,Negative,sadness,DNA
569,1,LIKE,Neutral,sadness,surprise
570,1,SAD,Negative,joy,sadness
571,1,WOW,Neutral,surprise,DNA
572,1,LOVE,Positive,joy,DNA
573,1,SAD,Neutral,sadness,DNA
574,1,LIKE,Positive,joy,DNA
575,1,ANGRY,Negative,surprise,DNA
576,1,LOVE,Positive,joy,DNA
577,1,LIKE,Neutral,DNA,do not recognize
578,1,DNA,DNA,DNA,DNA
579,1,WOW,Neutral,surprise,DNA
580,1,SAD,Negative,DNA,do not recognize
581,1,SAD,Negative,sadness,DNA
582,1,SAD,Neutral,sadness,DNA
583,1,DNA,DNA,DNA,DNA
584,1,LIKE,Neutral,surprise,DNA
585,1,LOVE,Positive,joy,DNA
586,1,DNA,DNA,DNA,DNA
587,1,LIKE,Positive,joy,DNA
588,1,WOW,Positive,surprise,DNA
589,1,LIKE,Neutral,joy,sadness
590,1,LIKE,Neutral,DNA,do not recognize
591,1,SAD,Negative,sadness,DNA
592,1,DNA,DNA,DNA,DNA
593,1,LIKE,Positive,joy,DNA
594,1,SAD,Negative,surprise,DNA
595,1,SAD,Positive,sadness,DNA
596,1,SAD,Negative,sadness,DNA
597,1,SAD,Neutral,joy,sadness
598,1,SAD,Neutral,joy,sadness
599,1,DNA,DNA,DNA,DNA
600,1,DNA,DNA,DNA,DNA
601,1,SAD,Positive,sadness,DNA
602,1,SAD,Negative,sadness,DNA
603,1,LIKE,Neutral,joy,sadness
604,1,SAD,Neutral,sadness,DNA
605,1,LIKE,Positive,joy,DNA
606,1,WOW,Negative,surprise,DNA
607,1,LIKE,Positive,joy,DNA
608,1,SAD,Negative,joy,DNA
609,1,LIKE,Positive,joy,surprise
610,1,DNA,DNA,DNA,DNA
611,1,LIKE,Neutral,joy,sadness
612,1,ANGRY,Negative,sadness,anger
613,1,LOVE,Positive,DNA,do not recognize
614,1,SAD,Neutral,sadness,surprise
615,1,WOW,Negative,surprise,DNA
616,1,DNA,DNA,DNA,DNA
617,1,SAD,Negative,sadness,DNA
618,1,LIKE,Neutral,fear,do not recognize
619,1,LIKE,Positive,joy,DNA
620,1,SAD,Negative,sadness,DNA
621,1,LOVE,Positive,joy,sadness
622,1,LIKE,Neutral,surprise,DNA
623,1,WOW,Neutral,surprise,DNA
624,1,LOVE,Positive,joy,surprise
625,1,LIKE,Positive,DNA,do not recognize
626,1,SAD,Negative,sadness,DNA
627,1,LOVE,Positive,joy,sadness
628,1,SAD,Neutral,sadness,DNA
629,1,ANGRY,Negative,sadness,disgust
630,1,WOW,Negative,sadness,surprise
631,1,DNA,DNA,DNA,DNA
632,1,LIKE,Neutral,joy,sadness
633,1,LIKE,Positive,joy,sadness
634,1,SAD,Negative,sadness,do not recognize
635,1,LOVE,Positive,joy,sadness
637,1,SAD,Negative,sadness,DNA
639,1,DNA,DNA,DNA,DNA
640,1,SAD,Neutral,sadness,DNA
641,1,LIKE,Neutral,joy,surprise
642,1,LOVE,Positive,joy,surprise
643,1,LIKE,Positive,joy,DNA
644,1,LOVE,Positive,joy,sadness
645,1,SAD,Positive,joy,sadness
646,1,SAD,Negative,sadness,DNA
647,1,LIKE,Neutral,joy,surprise
648,1,SAD,Negative,sadness,DNA
649,1,LOVE,Positive,joy,sadness
650,1,LOVE,Positive,joy,sadness
651,1,LOVE,Positive,joy,surprise
652,1,SAD,Negative,sadness,surprise
653,1,LOVE,Positive,joy,sadness
654,1,SAD,Negative,sadness,surprise
655,1,LIKE,Positive,joy,DNA
656,1,SAD,Positive,sadness,DNA
657,1,LOVE,Positive,joy,DNA
658,1,LIKE,Neutral,joy,DNA
659,1,LIKE,Positive,joy,DNA
660,1,LIKE,Neutral,surprise,DNA
661,1,WOW,Neutral,surprise,DNA
662,1,SAD,Negative,sadness,DNA
663,1,SAD,Negative,sadness,DNA
664,1,DNA,DNA,DNA,DNA
665,1,DNA,DNA,DNA,DNA
666,1,DNA,DNA,DNA,DNA
667,1,LOVE,Positive,sadness,DNA
668,1,LIKE,Neutral,sadness,DNA
669,1,LOVE,Positive,sadness,DNA
670,1,LIKE,Positive,joy,DNA
671,1,SAD,Positive,surprise,DNA
672,1,SAD,Negative,sadness,fear
673,1,LOVE,Positive,joy,sadness
674,1,SAD,Positive,joy,sadness
675,1,ANGRY,Negative,anger,disgust
676,1,LIKE,Neutral,sadness,DNA
677,1,SAD,Negative,fear,DNA
678,1,SAD,Negative,joy,surprise
679,1,LIKE,Positive,joy,sadness
680,1,LIKE,Positive,joy,DNA
681,1,LIKE,Neutral,joy,DNA
682,1,LIKE,Positive,joy,DNA
683,1,LOVE,Positive,joy,DNA
684,1,LIKE,Positive,DNA,do not recognize
685,1,DNA,DNA,DNA,DNA
686,1,LIKE,Neutral,DNA,do not recognize
687,1,SAD,Neutral,sadness,DNA
688,1,WOW,Positive,surprise,DNA
689,1,ANGRY,Negative,sadness,disgust
691,1,WOW,Neutral,surprise,DNA
692,1,WOW,Negative,surprise,DNA
693,1,LIKE,Neutral,sadness,surprise
694,1,LIKE,Neutral,joy,sadness
695,1,DNA,DNA,DNA,DNA
696,1,DNA,DNA,joy,sadness
697,1,LOVE,Positive,joy,DNA
698,1,LOVE,Positive,joy,sadness
699,1,DNA,DNA,DNA,DNA
700,1,SAD,Negative,anger,surprise
701,1,LIKE,Positive,joy,sadness
702,1,LOVE,Positive,joy,surprise
703,1,LIKE,Positive,joy,sadness
704,1,LIKE,Neutral,DNA,do not recognize
705,1,LOVE,Positive,joy,DNA
285,2,ANGRY,Negative,sadness,anger
286,2,ANGRY,Negative,anger,DNA
287,2,ANGRY,Negative,sadness,anger
288,2,SAD,Neutral,DNA,do not recognize
289,2,DNA,DNA,DNA,DNA
290,2,ANGRY,Negative,anger,DNA
291,2,DNA,DNA,DNA,DNA
292,2,LIKE,Neutral,anger,DNA
293,2,SAD,Negative,sadness,disgust
294,2,WOW,Neutral,surprise,DNA
295,2,ANGRY,Negative,anger,DNA
296,2,LIKE,Neutral,DNA,do not recognize
297,2,WOW,Neutral,surprise,DNA
298,2,ANGRY,Negative,anger,DNA
299,2,DNA,DNA,DNA,DNA
300,2,DNA,DNA,DNA,DNA
302,2,ANGRY,Negative,sadness,anger
303,2,DNA,DNA,DNA,DNA
304,2,LIKE,Neutral,sadness,anger
305,2,SAD,Negative,sadness,DNA
306,2,ANGRY,Negative,anger,DNA
307,2,ANGRY,Negative,disgust,DNA
308,2,SAD,Negative,sadness,DNA
309,2,ANGRY,Negative,anger,fear
310,2,DNA,DNA,DNA,DNA
311,2,LIKE,Negative,anger,surprise
312,2,ANGRY,Negative,anger,fear
313,2,ANGRY,Positive,anger,disgust
314,2,SAD,Neutral,fear,DNA
315,2,ANGRY,Negative,anger,disgust
316,2,DNA,DNA,DNA,DNA
317,2,ANGRY,Negative,anger,disgust
318,2,DNA,DNA,DNA,DNA
319,2,SAD,Negative,disgust,DNA
321,2,DNA,DNA,DNA,DNA
322,2,ANGRY,Negative,anger,DNA
323,2,ANGRY,Negative,sadness,anger
324,2,DNA,DNA,DNA,DNA
325,2,WOW,Negative,sadness,surprise
326,2,ANGRY,Negative,anger,DNA
327,2,ANGRY,Negative,anger,DNA
328,2,LIKE,Negative,DNA,do not recognize
329,2,WOW,Negative,sadness,DNA
330,2,SAD,Negative,disgust,DNA
331,2,ANGRY,Negative,sadness,surprise
332,2,DNA,DNA,DNA,DNA
333,2,LIKE,Negative,DNA,do not recognize
334,2,ANGRY,Negative,anger,DNA
335,2,ANGRY,Negative,anger,disgust
336,2,HAHA,Negative,disgust,DNA
337,2,ANGRY,Negative,anger,DNA
338,2,DNA,DNA,DNA,DNA
339,2,LIKE,Negative,disgust,surprise
340,2,ANGRY,Negative,anger,disgust
341,2,SAD,Negative,sadness,disgust
342,2,DNA,DNA,DNA,DNA
343,2,ANGRY,Negative,anger,disgust
344,2,ANGRY,Negative,sadness,anger
346,2,LIKE,Positive,anger,DNA
347,2,ANGRY,Negative,anger,disgust
348,2,ANGRY,Negative,sadness,anger
350,2,ANGRY,Negative,sadness,anger
351,2,LIKE,Neutral,DNA,do not recognize
352,2,ANGRY,Neutral,anger,disgust
353,2,ANGRY,Negative,anger,disgust
354,2,LIKE,Negative,anger,disgust
355,2,ANGRY,Negative,anger,DNA
356,2,ANGRY,Neutral,anger,disgust
357,2,ANGRY,Negative,anger,DNA
358,2,LOVE,DNA,DNA,DNA
359,2,DNA,DNA,DNA,DNA
360,2,SAD,Negative,disgust,DNA
361,2,DNA,DNA,DNA,DNA
362,2,DNA,DNA,DNA,DNA
363,2,ANGRY,Negative,anger,DNA
364,2,ANGRY,Negative,sadness,anger
365,2,ANGRY,Negative,anger,disgust
366,2,LIKE,Neutral,surprise,DNA
367,2,DNA,DNA,DNA,DNA
368,2,ANGRY,Negative,sadness,anger
369,2,ANGRY,Negative,anger,disgust
370,2,DNA,DNA,DNA,DNA
371,2,LIKE,Neutral,DNA,do not recognize
372,2,ANGRY,Negative,anger,DNA
373,2,DNA,DNA,DNA,DNA
374,2,ANGRY,Negative,anger,DNA
375,2,WOW,Neutral,DNA,do not recognize
376,2,ANGRY,Negative,anger,DNA
377,2,SAD,Neutral,sadness,DNA
378,2,ANGRY,Negative,sadness,anger
379,2,DNA,DNA,DNA,DNA
380,2,DNA,DNA,DNA,DNA
381,2,DNA,DNA,DNA,DNA
382,2,DNA,DNA,DNA,DNA
383,2,LIKE,Neutral,DNA,do not recognize
384,2,WOW,Negative,anger,surprise
385,2,DNA,DNA,DNA,DNA
386,2,LIKE,Positive,anger,DNA
387,2,ANGRY,Neutral,anger,DNA
388,2,LIKE,Neutral,DNA,do not recognize
389,2,DNA,DNA,DNA,DNA
390,2,DNA,DNA,DNA,DNA
391,2,ANGRY,Negative,anger,disgust
392,2,ANGRY,Positive,anger,disgust
393,2,ANGRY,Negative,anger,DNA
394,2,ANGRY,Negative,sadness,anger
395,2,ANGRY,Negative,anger,DNA
396,2,LIKE,Neutral,DNA,do not recognize
397,2,DNA,DNA,DNA,DNA
398,2,ANGRY,Negative,anger,DNA
399,2,ANGRY,Negative,anger,DNA
400,2,ANGRY,Neutral,DNA,do not recognize
402,2,DNA,DNA,DNA,DNA
403,2,ANGRY,Negative,anger,DNA
404,2,SAD,Neutral,DNA,do not recognize
405,2,SAD,Negative,DNA,do not recognize
407,2,WOW,Neutral,sadness,DNA
408,2,DNA,DNA,DNA,DNA
409,2,SAD,Negative,sadness,DNA
410,2,WOW,Neutral,DNA,do not recognize
411,2,ANGRY,Negative,anger,DNA
412,2,SAD,Negative,sadness,DNA
413,2,ANGRY,Negative,anger,DNA
414,2,ANGRY,Negative,sadness,anger
415,2,ANGRY,Negative,anger,disgust
416,2,DNA,DNA,DNA,DNA
417,2,ANGRY,Positive,anger,DNA
418,2,WOW,Neutral,surprise,DNA
419,2,SAD,Negative,sadness,disgust
420,2,ANGRY,Neutral,anger,DNA
421,2,DNA,DNA,DNA,DNA
422,2,DNA,DNA,DNA,DNA
423,2,DNA,DNA,DNA,DNA
424,2,SAD,Negative,sadness,DNA
425,2,DNA,DNA,DNA,DNA
426,2,ANGRY,Negative,sadness,anger
427,2,DNA,DNA,DNA,DNA
428,2,ANGRY,Negative,anger,DNA
429,2,ANGRY,Negative,disgust,DNA
430,2,ANGRY,Negative,anger,disgust
431,2,LIKE,Neutral,surprise,DNA
432,2,DNA,DNA,DNA,DNA
433,2,ANGRY,Negative,anger,DNA
434,2,SAD,Negative,sadness,DNA
435,2,DNA,DNA,DNA,DNA
436,2,WOW,Negative,sadness,surprise
437,2,WOW,Neutral,DNA,do not recognize
438,2,SAD,Negative,sadness,DNA
439,2,LIKE,Neutral,DNA,do not recognize
440,2,ANGRY,Negative,sadness,anger
441,2,LIKE,Neutral,DNA,do not recognize
442,2,ANGRY,Negative,anger,DNA
444,2,DNA,DNA,DNA,DNA
445,2,LIKE,Neutral,fear,DNA
446,2,ANGRY,Negative,disgust,DNA
447,2,DNA,DNA,DNA,DNA
448,2,DNA,DNA,DNA,DNA
449,2,ANGRY,Negative,anger,DNA
450,2,DNA,DNA,DNA,DNA
452,2,ANGRY,Negative,DNA,do not recognize
453,2,LIKE,Negative,DNA,do not recognize
454,2,ANGRY,Negative,disgust,DNA
455,2,DNA,DNA,DNA,DNA
456,2,DNA,DNA,DNA,DNA
457,2,DNA,DNA,DNA,DNA
458,2,ANGRY,Negative,anger,DNA
459,2,ANGRY,Negative,anger,disgust
460,2,DNA,DNA,DNA,DNA
461,2,DNA,DNA,DNA,DNA
462,2,ANGRY,Neutral,DNA,do not recognize
463,2,DNA,DNA,DNA,DNA
464,2,ANGRY,Positive,anger,DNA
465,2,ANGRY,Negative,disgust,DNA
466,2,LIKE,Neutral,DNA,do not recognize
467,2,LIKE,Positive,DNA,do not recognize
468,2,ANGRY,Negative,anger,DNA
469,2,ANGRY,Negative,anger,disgust
470,2,SAD,Negative,sadness,anger
471,2,SAD,Negative,sadness,DNA
472,2,ANGRY,Negative,disgust,DNA
473,2,ANGRY,Negative,sadness,anger
474,2,ANGRY,Negative,anger,disgust
475,2,DNA,DNA,DNA,DNA
476,2,ANGRY,Negative,anger,disgust
477,2,ANGRY,Negative,anger,DNA
478,2,DNA,DNA,DNA,DNA
479,2,ANGRY,Negative,anger,DNA
480,2,ANGRY,Negative,anger,disgust
481,2,ANGRY,Negative,anger,DNA
482,2,LIKE,Positive,sadness,DNA
483,2,ANGRY,Negative,sadness,anger
484,2,LIKE,Neutral,DNA,do not recognize
485,2,ANGRY,Negative,sadness,anger
486,2,ANGRY,Negative,anger,DNA
487,2,ANGRY,Negative,anger,DNA
488,2,ANGRY,Negative,anger,DNA
489,2,ANGRY,Negative,anger,DNA
490,2,DNA,DNA,DNA,DNA
491,2,DNA,DNA,DNA,DNA
492,2,ANGRY,Negative,anger,disgust
493,2,ANGRY,Negative,anger,DNA
494,2,DNA,DNA,DNA,DNA
495,2,ANGRY,Negative,sadness,anger
496,2,ANGRY,Negative,anger,disgust
497,2,ANGRY,Negative,anger,surprise
498,2,ANGRY,Negative,anger,DNA
499,2,LIKE,Neutral,DNA,do not recognize
500,2,ANGRY,Negative,sadness,anger
501,2,ANGRY,Negative,anger,DNA
502,2,ANGRY,Negative,anger,disgust
503,2,DNA,DNA,DNA,DNA
504,2,ANGRY,Neutral,anger,DNA
505,2,ANGRY,Negative,anger,DNA
506,2,DNA,DNA,DNA,DNA
507,2,DNA,DNA,DNA,DNA
508,2,ANGRY,Negative,sadness,anger
509,2,SAD,Negative,sadness,DNA
510,2,SAD,Neutral,sadness,surprise
511,2,LIKE,Neutral,DNA,do not recognize
512,2,DNA,DNA,DNA,DNA
513,2,ANGRY,Negative,anger,disgust
514,2,ANGRY,Negative,anger,disgust
515,2,DNA,DNA,DNA,DNA
516,2,LIKE,Neutral,DNA,do not recognize
517,2,ANGRY,Negative,anger,disgust
518,2,ANGRY,Negative,sadness,anger
519,2,ANGRY,Negative,anger,DNA
520,2,ANGRY,Negative,sadness,DNA
521,2,WOW,Negative,surprise,DNA
522,2,DNA,DNA,DNA,DNA
523,2,LIKE,Neutral,DNA,do not recognize
524,2,ANGRY,Negative,anger,DNA
525,2,ANGRY,Neutral,surprise,DNA
526,2,SAD,Negative,sadness,fear
527,2,ANGRY,Negative,anger,DNA
528,2,DNA,DNA,DNA,DNA
529,2,ANGRY,Negative,sadness,DNA
530,2,ANGRY,Negative,anger,disgust
531,2,ANGRY,Neutral,disgust,do not recognize
532,2,DNA,DNA,DNA,DNA
533,2,ANGRY,Negative,anger,DNA
534,2,ANGRY,Neutral,anger,DNA
535,2,ANGRY,Negative,anger,disgust
536,2,SAD,Negative,sadness,DNA
537,2,SAD,Neutral,anger,disgust
538,2,SAD,Negative,anger,fear
539,2,ANGRY,Positive,anger,disgust
540,2,LIKE,Neutral,fear,do not recognize
541,2,WOW,Neutral,surprise,DNA
542,2,SAD,Negative,sadness,disgust
543,2,ANGRY,Negative,anger,DNA
544,2,ANGRY,Negative,sadness,anger
545,2,DNA,DNA,DNA,DNA
546,2,DNA,DNA,DNA,DNA
547,2,WOW,Neutral,fear,do not recognize
548,2,ANGRY,Negative,disgust,DNA
549,2,ANGRY,Negative,disgust,DNA
550,2,ANGRY,Neutral,anger,DNA
551,2,ANGRY,Negative,anger,DNA
552,2,ANGRY,Neutral,anger,DNA
554,2,ANGRY,Negative,anger,DNA
555,2,DNA,DNA,DNA,DNA
556,2,DNA,DNA,DNA,DNA
